Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
64,2013,Landry Jones,QB,23,4,Oklahoma,College Stats,4-Jun,225,5.11,31,,115,7.12,4.3,Pittsburgh Steelers / 4th / 115th pick / 2013
65,2013,MarQueis Gray,QB,23,2,Minnesota,College Stats,3-Jun,240,4.65,30,15,111,7.25,4.3,
66,2013,Mike Glennon,QB,23,13,North Carolina State,College Stats,7-Jun,225,4.94,26.5,,102,7.49,4.52,Tampa Bay Buccaneers / 3rd / 73rd pick / 2013
67,2013,Zac Dysert,QB,23,,Miami (OH),College Stats,3-Jun,231,4.81,,,,,,Denver Broncos / 7th / 234th pick / 2013
68,2013,Tyler Bray,QB,21,0,Tennessee,College Stats,6-Jun,232,5.05,,,100,7.2,4.51,
69,2013,Matt Barkley,QB,22,4,USC,College Stats,2-Jun,227,4.91,,,,,,Philadelphia Eagles / 4th / 98th pick / 2013
70,2012,Russell Wilson,QB,23,129,Wisconsin,College Stats,11-May,204,4.53,34,,118,6.97,4.09,Seattle Seahawks / 3rd / 75th pick / 2012
71,2012,Brandon Weeden,QB,28,15,Oklahoma State,College Stats,3-Jun,221,4.89,,,,,,Cleveland Browns / 1st / 22nd pick / 2012
72,2012,Ryan Tannehill,QB,23,72,Texas A&M,College Stats,4-Jun,221,4.65,,,,,,Miami Dolphins / 1st / 8th pick / 2012
73,2012,Brock Osweiler,QB,21,15,Arizona State,College Stats,7-Jun,242,4.83,,,,,,Denver Broncos / 2nd / 57th pick / 2012
74,2012,Kellen Moore,QB,22,2,Boise State,College Stats,Jun-00,197,4.82,27,,99,7.41,4.56,
75,2012,Andrew Luck,QB,22,79,Stanford,College Stats,4-Jun,234,4.59,36,,124,6.8,4.28,Indianapolis Colts / 1st / 1st pick / 2012
76,2012,Ryan Lindley,QB,22,-4,San Diego State,College Stats,4-Jun,229,4.86,29.5,,108,7.52,4.45,Arizona Cardinals / 6th / 185th pick / 2012
77,2012,Case Keenum,QB,24,37,Houston,College Stats,1-Jun,208,4.72,32.5,,103,,,
78,2012,Chandler Harnish,QB,23,0,Northern Illinois,College Stats,2-Jun,219,4.68,32.5,,112,6.78,4.15,Indianapolis Colts / 7th / 253rd pick / 2012
79,2012,Robert Griffin,QB,22,38,Baylor,College Stats,2-Jun,223,4.33,39,,120,,,Washington Redskins / 1st / 2nd pick / 2012
80,2012,Nick Foles,QB,23,32,Arizona,College Stats,5-Jun,243,5.14,30.5,,112,,,Philadelphia Eagles / 3rd / 88th pick / 2012
81,2012,Austin Davis,QB,22,6,Southern Miss,College Stats,2-Jun,219,4.69,31,,109,6.73,4.11,
82,2012,Kirk Cousins,QB,23,69,Michigan State,College Stats,3-Jun,214,4.84,28.5,,109,7.05,4.5,Washington Redskins / 4th / 102nd pick / 2012
83,2012,B.J. Coleman,QB,23,0,Tenn-Chattanooga,,3-Jun,233,4.94,,,109,7.07,4.38,Green Bay Packers / 7th / 243rd pick / 2012
84,2011,T.J. Yates,QB,23,6,North Carolina,College Stats,3-Jun,219,5.06,29.5,,104,6.96,4.12,Houston Texans / 5th / 152nd pick / 2011
85,2011,Scott Tolzien,QB,23,3,Wisconsin,College Stats,2-Jun,212,4.92,29.5,,116,6.84,4.12,
86,2011,Tyrod Taylor,QB,21,43,Virginia Tech,College Stats,1-Jun,217,4.47,37.5,,126,6.78,4.09,Baltimore Ravens / 6th / 180th pick / 2011
87,2011,Ricky Stanzi,QB,23,0,Iowa,College Stats,4-Jun,223,4.87,32.5,,110,6.95,4.43,Kansas City Chiefs / 5th / 135th pick / 2011
88,2011,Christian Ponder,QB,23,23,Florida State,College Stats,2-Jun,229,4.63,34,,116,6.85,4.09,Minnesota Vikings / 1st / 12th pick / 2011
89,2011,Cam Newton,QB,21,123,Auburn,College Stats,5-Jun,248,4.56,35,,126,6.92,4.18,Carolina Panthers / 1st / 1st pick / 2011
90,2011,Greg McElroy,QB,22,1,Alabama,College Stats,2-Jun,220,4.84,33,,107,7.11,4.45,New York Jets / 7th / 208th pick / 2011
91,2011,Ryan Mallett,QB,22,4,Arkansas,College Stats,7-Jun,253,5.37,24,,103,,,New England Patriots / 3rd / 74th pick / 2011
92,2011,Jake Locker,QB,22,16,Washington,College Stats,2-Jun,231,4.51,35,,120,6.77,4.12,Tennessee Titans / 1st / 8th pick / 2011
93,2011,Colin Kaepernick,QB,23,49,Nevada,College Stats,5-Jun,233,4.53,32.5,,115,6.85,4.18,San Francisco 49ers / 2nd / 36th pick / 2011
94,2011,Blaine Gabbert,QB,21,17,Missouri,College Stats,4-Jun,234,4.61,33.5,,120,6.84,4.26,Jacksonville Jaguars / 1st / 10th pick / 2011
95,2011,Pat Devlin,QB,22,0,Pittsburgh,,3-Jun,225,4.81,33,,116,7.08,4.32,
96,2011,Andy Dalton,QB,23,98,TCU,College Stats,2-Jun,215,4.83,29.5,,106,6.93,4.27,Cincinnati Bengals / 2nd / 35th pick / 2011
