Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
73,Thomas Jones,KAN,RB,32,16,10,0,0,0,0,0,245,896,3.66,6,20,14,122,8.71,0,3,1,6,,,138,149.8,156.8,142.8,,25,
74,Felix Jones,DAL,RB,23,16,7,0,0,0,0,0,185,800,4.32,1,52,48,450,9.38,1,2,1,2,,,137,183,190,159,,26,
75,Percy Harvin,MIN,WR,22,14,13,0,0,0,0,0,18,107,5.94,1,109,71,868,12.23,5,1,1,7,1,,136,210.5,217.5,175,18,20,54
76,Vernon Davis,SFO,TE,26,16,16,0,0,0,0,0,0,0,,0,93,56,914,16.32,7,0,,7,1,,135,191.4,194.4,163.4,39,3,39
77,Braylon Edwards,NYJ,WR,27,16,15,0,0,0,0,0,1,4,4,0,101,53,904,17.06,7,1,1,7,1,,135,185.8,189.8,159.3,17,21,56
78,Kenny Britt,TEN,WR,22,12,7,0,0,0,0,0,0,0,,0,73,42,775,18.45,9,1,1,9,1,,134,173.5,177.5,152.5,16,22,57
79,Michael Bush,OAK,RB,26,14,3,0,0,0,0,0,158,655,4.15,8,24,18,194,10.78,0,0,,8,,,133,150.9,156.9,141.9,,27,
80,Marcedes Lewis*,JAX,TE,26,16,16,0,0,0,0,0,0,0,,0,89,58,700,12.07,10,2,2,10,,,130,184,189,155,34,4,42
81,Brandon Jackson,GNB,RB,25,16,13,0,0,0,0,0,190,703,3.7,3,50,43,342,7.95,1,1,,4,,,129,171.5,177.5,150,,29,
82,Danny Woodhead,2TM,RB,25,15,3,0,0,0,0,0,97,547,5.64,5,44,34,379,11.15,1,1,1,6,,,129,160.6,167.6,143.6,,28,
83,Ronnie Brown,MIA,RB,29,16,16,0,2,0,0,0,200,734,3.67,5,43,33,242,7.33,0,3,2,5,,,128,156.6,164.6,140.1,,30,
84,Wes Welker*,NWE,WR,29,15,11,0,0,0,0,0,0,0,,0,123,86,848,9.86,7,1,,7,,,127,213.8,215.8,170.8,9,23,59
85,Johnny Knox,CHI,WR,24,16,16,0,0,0,0,0,1,2,2,0,100,51,960,18.82,5,1,1,5,,,126,175.2,179.2,149.7,9,24,60
86,Anquan Boldin,BAL,WR,30,16,16,1,1,-6,0,0,2,2,1,0,109,64,837,13.08,7,1,1,7,,,126,187.7,191.7,155.7,8,25,62
87,Lance Moore,NOR,WR,27,16,1,0,0,0,0,0,0,0,,0,94,66,763,11.56,8,2,2,8,,,124,186.3,191.3,153.3,7,26,64
88,Marshawn Lynch,2TM,RB,24,16,14,0,0,0,0,0,202,737,3.65,6,26,22,145,6.59,0,4,4,6,,,124,138.2,148.2,127.2,,32,
89,Ryan Mathews,SDG,RB,23,12,9,0,0,0,0,0,158,678,4.29,7,26,22,145,6.59,0,5,3,7,,,124,140.3,149.3,129.3,,31,
90,Ryan Torain,WAS,RB,24,10,8,0,0,0,0,0,164,742,4.52,4,27,18,125,6.94,2,2,1,6,,,123,138.7,145.7,129.7,,33,
91,Derrick Mason,BAL,WR,36,16,15,0,0,0,0,0,0,0,,0,100,61,802,13.15,7,0,,7,,,122,183.2,186.2,152.7,5,27,67
92,Brandon Marshall,MIA,WR,26,14,14,0,1,0,0,0,2,3,1.5,0,146,86,1014,11.79,3,2,1,3,,,120,203.7,207.7,160.7,2,28,71
93,Deion Branch,2TM,WR,31,15,12,0,0,0,0,0,0,0,,0,92,61,818,13.41,6,1,,6,,,118,178.8,181.8,148.3,,29,74
94,Mike Thomas,JAX,WR,23,16,11,0,0,0,0,0,12,114,9.5,0,102,66,820,12.42,4,3,1,5,,,117,187.4,194.4,154.4,,30,78
95,Tim Hightower,ARI,RB,24,16,13,0,0,0,0,0,153,736,4.81,5,42,21,136,6.48,0,5,4,5,,,117,130.2,140.2,119.7,,34,
96,Rob Gronkowski,NWE,TE,21,16,11,0,0,0,0,0,0,0,,0,59,42,546,13,10,1,1,10,,,115,154.6,158.6,133.6,18,5,53
97,Kerry Collins,TEN,QB,38,10,7,160,278,1823,14,8,10,1,0.1,0,0,0,0,,0,5,3,0,,1,115,109,123,117,,28,
98,Pierre Garcon,IND,WR,24,14,14,0,0,0,0,0,2,6,3,0,119,67,784,11.7,6,0,,6,,,115,182,185,148.5,,31,
99,Austin Collie,IND,WR,25,9,6,0,0,0,0,0,0,0,,0,71,58,649,11.19,8,1,1,8,,,113,168.9,172.9,139.9,,32,
100,Davone Bess,MIA,WR,25,16,8,0,0,0,0,0,2,-3,-1.5,0,125,79,820,10.38,5,3,1,5,,,112,188.7,192.7,149.2,,34,
101,Santonio Holmes,NYJ,WR,26,12,10,0,0,0,0,0,2,17,8.5,0,96,52,746,14.35,6,2,2,6,,,112,160.3,165.3,134.3,,33,
102,Michael Crabtree,SFO,WR,23,16,15,0,0,0,0,0,0,0,,0,101,55,741,13.47,6,0,,6,,,110,165.1,168.1,137.6,,35,
103,Malcom Floyd,SDG,WR,29,11,9,0,0,0,0,0,0,0,,0,77,37,717,19.38,6,1,,6,,,108,144.7,147.7,126.2,,36,
104,Nate Burleson,DET,WR,29,14,14,0,0,0,0,0,7,81,11.57,0,86,55,625,11.36,6,2,2,6,,,107,157.6,162.6,130.1,,38,
105,Brett Favre,MIN,QB,41,13,13,217,358,2509,11,19,17,8,0.47,0,0,0,0,,0,7,5,0,,,107,97.2,124.2,116.2,,29,
106,Chad Johnson,CIN,,32,14,12,0,1,0,0,0,0,0,,0,126,67,831,12.4,4,0,,4,,,107,174.1,177.1,140.6,,37,
107,Chris Cooley,WAS,TE,28,16,16,0,0,0,0,0,0,0,,0,126,77,849,11.03,3,3,1,3,1,,105,179.9,183.9,141.4,9,6,61
108,Anthony Armstrong,WAS,WR,27,15,11,0,0,0,0,0,0,0,,0,86,44,871,19.8,3,1,1,3,,,105,147.1,151.1,125.1,,40,
109,Jonathan Stewart,CAR,RB,23,14,7,0,0,0,0,0,178,770,4.33,2,14,8,103,12.88,1,4,4,3,,,105,105.3,115.3,101.3,,35,
110,Hines Ward,PIT,WR,34,16,15,0,0,0,0,0,1,-2,-2,0,95,59,755,12.8,5,1,1,5,,,105,162.3,166.3,132.8,,39,
111,Nate Washington,TEN,WR,27,16,16,0,0,0,0,0,1,-8,-8,0,94,42,687,16.36,6,0,,6,,,104,145.9,148.9,124.9,,41,
112,Kellen Winslow,TAM,TE,27,16,11,0,0,0,0,0,0,0,,0,98,66,730,11.06,5,1,,5,,,103,169,172,136,7,7,65
113,Chris Ivory,NOR,RB,22,12,4,0,0,0,0,0,137,716,5.23,5,1,1,17,17,0,4,2,5,,,103,100.3,105.3,99.8,,36,
