Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
60,2005,Dan Orlovsky,QB,21,7,Connecticut,College Stats,5-Jun,225,4.93,29.5,,107,7.33,4.39,Detroit Lions / 5th / 145th pick / 2005
61,2005,Charlie Frye,QB,23,8,Akron,College Stats,4-Jun,225,4.79,33,,113,6.94,4.08,Cleveland Browns / 3rd / 67th pick / 2005
62,2005,Ryan Fitzpatrick,QB,22,96,Harvard,,2-Jun,232,4.86,30.5,,105,7.09,4.07,St. Louis Rams / 7th / 250th pick / 2005
63,2005,Jason Campbell,QB,23,53,Auburn,College Stats,5-Jun,230,4.71,,,,,,Washington Redskins / 1st / 25th pick / 2005
64,2005,Brock Berlin,QB,23,0,Miami (FL),College Stats,1-Jun,221,4.83,29,,109,7.49,4.54,
65,2005,Derek Anderson,QB,21,22,Oregon State,College Stats,6-Jun,242,5.03,29,,103,7.67,4.62,Baltimore Ravens / 6th / 213th pick / 2005
66,2004,Bradlee Van Pelt,QB,23,0,Colorado State,College Stats,2-Jun,231,4.98,33.5,,115,6.89,4.11,Denver Broncos / 7th / 250th pick / 2004
67,2004,Matt Schaub,QB,22,81,Virginia,College Stats,6-Jun,243,5.04,30.5,,110,7.65,4.62,Atlanta Falcons / 3rd / 90th pick / 2004
68,2004,Ben Roethlisberger,QB,22,186,Miami (OH),College Stats,5-Jun,241,4.75,,,,,,Pittsburgh Steelers / 1st / 11th pick / 2004
69,2004,Philip Rivers,QB,22,204,North Carolina State,College Stats,5-Jun,229,5.08,,,,,,New York Giants / 1st / 4th pick / 2004
70,2004,Cody Pickett,QB,23,1,Washington,College Stats,3-Jun,233,4.79,30.5,,109,7.19,4.3,San Francisco 49ers / 7th / 217th pick / 2004
71,2004,John Navarre,QB,23,0,Michigan,College Stats,6-Jun,246,5.19,26.5,,100,7.73,4.46,Arizona Cardinals / 7th / 202nd pick / 2004
72,2004,Luke McCown,QB,22,8,Louisiana Tech,College Stats,4-Jun,208,4.71,37.5,,125,6.74,4.21,Cleveland Browns / 4th / 106th pick / 2004
73,2004,Matt Mauck,QB,25,1,LSU,College Stats,2-Jun,228,4.79,,,,,,Denver Broncos / 7th / 225th pick / 2004
74,2004,Eli Manning,QB,23,165,Mississippi,College Stats,5-Jun,221,4.9,,,,,,San Diego Chargers / 1st / 1st pick / 2004
75,2004,J.P. Losman,QB,22,20,Tulane,College Stats,2-Jun,224,4.73,33,,116,,,Buffalo Bills / 1st / 22nd pick / 2004
76,2004,Jared Lorenzen,QB,23,0,Kentucky,College Stats,3-Jun,288,5.28,,,,,,
77,2004,Craig Krenzel,QB,22,1,Ohio State,College Stats,3-Jun,228,4.84,28,,112,7.22,4.08,Chicago Bears / 5th / 148th pick / 2004
78,2003,Seneca Wallace,QB,22,16,Iowa State,College Stats,11-May,196,4.56,38,,127,6.98,4.14,Seattle Seahawks / 4th / 110th pick / 2003
79,2003,Chris Simms,QB,22,8,Texas,College Stats,4-Jun,220,4.84,31,,103,7.38,4.21,Tampa Bay Buccaneers / 3rd / 97th pick / 2003
80,2003,Tony Romo,QB,22,116,East. Illinois,,2-Jun,230,5.01,30,,105,7.11,4.2,
81,2003,Dave Ragone,QB,23,1,Louisville,College Stats,4-Jun,249,4.99,30.5,,101,7.42,4.36,Houston Texans / 3rd / 88th pick / 2003
82,2003,Carson Palmer,QB,23,142,USC,College Stats,5-Jun,232,4.65,,,,,,Cincinnati Bengals / 1st / 1st pick / 2003
83,2003,Byron Leftwich,QB,23,36,Marshall,College Stats,5-Jun,241,4.85,,,,,,Jacksonville Jaguars / 1st / 7th pick / 2003
84,2003,Kliff Kingsbury,QB,23,0,Texas Tech,College Stats,3-Jun,213,4.77,30,,101,6.92,4.1,New England Patriots / 6th / 201st pick / 2003
85,2003,Rex Grossman,QB,22,25,Florida,College Stats,1-Jun,217,5.06,,,,,,Chicago Bears / 1st / 22nd pick / 2003
86,2003,Ken Dorsey,QB,21,1,Miami (FL),College Stats,5-Jun,208,4.7,,,,,,San Francisco 49ers / 7th / 241st pick / 2003
87,2003,Kyle Boller,QB,21,18,California,College Stats,3-Jun,234,4.61,35.5,,117,7.2,4.02,Baltimore Ravens / 1st / 19th pick / 2003
88,2002,Patrick Ramsey,QB,23,15,Tulane,College Stats,2-Jun,219,5.24,33.5,,112,7.12,4.09,Washington Redskins / 1st / 32nd pick / 2002
89,2002,J.T. O'Sullivan,QB,22,6,California-Davis,,2-Jun,223,4.88,29,,107,7.46,4.28,New Orleans Saints / 6th / 186th pick / 2002
90,2002,Josh McCown,QB,22,47,SMU,College Stats,4-Jun,221,4.59,38.5,,120,6.85,3.9,Arizona Cardinals / 3rd / 81st pick / 2002
91,2002,Kurt Kittner,QB,22,1,Illinois,College Stats,2-Jun,221,4.86,27,,100,7.34,4.5,Atlanta Falcons / 5th / 158th pick / 2002
92,2002,Joey Harrington,QB,23,33,Oregon,College Stats,4-Jun,215,4.89,32,,112,7,4.21,Detroit Lions / 1st / 3rd pick / 2002
93,2002,David Garrard,QB,24,69,East Carolina,College Stats,2-Jun,235,4.82,33.5,,111,7.35,4.26,Jacksonville Jaguars / 4th / 108th pick / 2002
94,2002,Randy Fasani,QB,23,1,Stanford,College Stats,3-Jun,224,4.77,31.5,,106,6.75,3.87,Carolina Panthers / 5th / 137th pick / 2002
95,2002,Rohan Davey,QB,23,0,LSU,College Stats,2-Jun,245,4.74,,,,,,New England Patriots / 4th / 117th pick / 2002
96,2002,Ronald Curry,QB,22,17,North Carolina,College Stats,2-Jun,220,4.59,35,,115,7.06,4.11,Oakland Raiders / 7th / 235th pick / 2002
97,2002,David Carr,QB,22,48,Fresno State,College Stats,3-Jun,223,4.67,35,,108,7.05,4.28,Houston Texans / 1st / 1st pick / 2002
98,2001,Chris Weinke,QB,28,9,Florida State,College Stats,4-Jun,226,5.2,,,,,,Carolina Panthers / 4th / 106th pick / 2001
99,2001,Michael Vick,QB,20,113,Virginia Tech,College Stats,Jun-00,210,4.33,,,,,,Atlanta Falcons / 1st / 1st pick / 2001
100,2001,Marques Tuiasosopo,QB,21,1,Washington,College Stats,1-Jun,223,4.71,35.5,,115,7.36,4.35,Oakland Raiders / 2nd / 59th pick / 2001
101,2001,Sage Rosenfels,QB,23,14,Iowa State,College Stats,4-Jun,228,4.74,34,,107,7.07,4.29,Washington Redskins / 4th / 109th pick / 2001
102,2001,Jesse Palmer,QB,22,1,Florida,College Stats,2-Jun,231,4.78,35.5,,112,7.13,4.29,New York Giants / 4th / 125th pick / 2001
103,2001,Mike McMahon,QB,22,6,Rutgers,College Stats,2-Jun,207,4.57,37.5,,124,7.12,4.12,Detroit Lions / 5th / 149th pick / 2001
104,2001,Cleo Lemon,QB,21,6,Arkansas State,College Stats,2-Jun,226,4.87,35.5,,106,7.33,4.27,
105,2001,Tim Hasselbeck,QB,22,1,Boston Col.,College Stats,1-Jun,211,4.83,33,,113,7.27,4.4,
106,2001,Quincy Carter,QB,23,18,Georgia,College Stats,2-Jun,225,4.58,35.5,,113,7.12,4.12,Dallas Cowboys / 2nd / 53rd pick / 2001
107,2001,Drew Brees,QB,22,267,Purdue,College Stats,Jun-00,213,4.83,32,,105,7.09,4.21,San Diego Chargers / 2nd / 32nd pick / 2001
108,2000,Spergon Wynn,QB,21,2,Texas State,College Stats,3-Jun,229,4.91,34,,108,7.71,4.59,Cleveland Browns / 6th / 183rd pick / 2000
109,2000,Chris Redman,QB,22,10,Louisville,College Stats,3-Jun,222,5.37,26.5,,98,7.8,4.78,Baltimore Ravens / 3rd / 75th pick / 2000
110,2000,Tim Rattay,QB,22,13,Louisiana Tech,College Stats,Jun-00,215,4.91,25.5,,100,7.34,4.21,San Francisco 49ers / 7th / 212th pick / 2000
111,2000,Chad Pennington,QB,23,62,Marshall,College Stats,3-Jun,229,4.81,33.5,,111,7.12,4.16,New York Jets / 1st / 18th pick / 2000
112,2000,Tee Martin,QB,21,0,Tennessee,College Stats,2-Jun,227,4.58,34.5,,113,,,Pittsburgh Steelers / 5th / 163rd pick / 2000
113,2000,Doug Johnson,QB,22,8,Florida,College Stats,2-Jun,226,4.95,29.5,,96,,,
114,2000,Jarious Jackson,QB,22,0,Notre Dame,College Stats,Jun-00,226,4.68,,,109,,,Denver Broncos / 7th / 214th pick / 2000
115,2000,Todd Husak,QB,21,0,Stanford,College Stats,3-Jun,216,5.2,27.5,,99,7.17,4.41,Washington Redskins / 6th / 202nd pick / 2000
116,2000,Joe Hamilton,QB,22,0,Georgia Tech,College Stats,10-May,192,4.81,,,106,,,Tampa Bay Buccaneers / 7th / 234th pick / 2000
117,2000,Marc Bulger,QB,22,64,West Virginia,College Stats,2-Jun,208,4.97,,,100,7.46,4.34,New Orleans Saints / 6th / 168th pick / 2000
118,2000,Travis Brown,QB,22,1,Northern Arizona,,3-Jun,218,5.01,29,,101,7.54,4.87,
119,2000,Tom Brady,QB,22,280,Michigan,College Stats,4-Jun,211,5.28,24.5,,99,7.2,4.38,New England Patriots / 6th / 199th pick / 2000
