Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
60,2003,Nate Burleson,WR,21,55,Nevada,College Stats,Jun-00,197,4.51,42.5,,126,6.96,4.16,Minnesota Vikings / 3rd / 71st pick / 2003
61,2003,Anquan Boldin,WR,22,118,Florida State,College Stats,1-Jun,216,4.72,33.5,,114,7.35,4.33,Arizona Cardinals / 2nd / 54th pick / 2003
62,2003,Ronald Bellamy,WR,21,0,Michigan,College Stats,Jun-00,208,4.57,30.5,,119,7.38,4.1,
63,2003,Arnaz Battle,WR,23,19,Notre Dame,College Stats,1-Jun,217,4.58,35,,117,6.74,4.06,San Francisco 49ers / 6th / 197th pick / 2003
64,2003,Sam Aiken,WR,22,7,North Carolina,College Stats,2-Jun,209,4.59,39.5,,121,7.22,,Buffalo Bills / 4th / 127th pick / 2003
65,2002,Javon Walker,WR,23,42,Florida State,College Stats,3-Jun,210,4.38,39.5,,128,6.86,4.05,Green Bay Packers / 1st / 20th pick / 2002
66,2002,Donte' Stallworth,WR,21,45,Tennessee,College Stats,Jun-00,197,4.22,,,,,,New Orleans Saints / 1st / 13th pick / 2002
67,2002,Jake Schifino,WR,22,0,Akron,College Stats,1-Jun,200,4.49,,,,,,Tennessee Titans / 5th / 151st pick / 2002
68,2002,Cliff Russell,WR,23,0,Utah,College Stats,11-May,185,4.36,,,,,,Washington Redskins / 3rd / 87th pick / 2002
69,2002,Josh Reed,WR,21,33,LSU,College Stats,10-May,210,4.54,,,,,,Buffalo Bills / 2nd / 36th pick / 2002
70,2002,Antwaan Randle El,WR,22,49,Indiana,College Stats,10-May,191,4.49,,,,,,Pittsburgh Steelers / 2nd / 62nd pick / 2002
71,2002,Kendall Newson,WR,22,1,Middle Tennessee State,College Stats,2-Jun,200,4.69,33.5,,117,6.87,4.27,Jacksonville Jaguars / 7th / 222nd pick / 2002
72,2002,Jason McAddley,WR,22,4,Alabama,College Stats,1-Jun,203,4.47,36.5,,123,6.83,4.09,Arizona Cardinals / 5th / 149th pick / 2002
73,2002,Lee Mays,WR,23,1,Texas-El Paso,College Stats,1-Jun,190,4.55,32.5,,119,7.08,4.17,Pittsburgh Steelers / 6th / 202nd pick / 2002
74,2002,Ashley Lelie,WR,22,39,Hawaii,College Stats,3-Jun,197,4.49,,,,,,Denver Broncos / 1st / 19th pick / 2002
75,2002,Daryl Jones,WR,23,1,Miami (FL),College Stats,9-May,180,4.35,,,,,,New York Giants / 7th / 226th pick / 2002
76,2002,Ron Johnson,WR,21,1,Minnesota,College Stats,2-Jun,225,4.7,34.5,,118,7.12,4.02,Baltimore Ravens / 4th / 123rd pick / 2002
77,2002,Javin Hunter,WR,21,0,Notre Dame,College Stats,11-May,186,4.47,41,,129,6.84,4.04,Baltimore Ravens / 6th / 206th pick / 2002
78,2002,Kahlil Hill,WR,22,0,Iowa,College Stats,2-Jun,200,4.65,35,,,,,Atlanta Falcons / 6th / 184th pick / 2002
79,2002,Herb Haygood,WR,24,0,Michigan State,College Stats,11-May,193,4.45,33,,114,6.65,4.26,Denver Broncos / 5th / 144th pick / 2002
80,2002,David Givens,WR,21,23,Notre Dame,College Stats,Jun-00,217,4.56,40.5,,126,6.82,4.13,New England Patriots / 7th / 253rd pick / 2002
81,2002,Jabar Gaffney,WR,21,52,Florida,College Stats,1-Jun,193,4.56,,,,6.87,4.06,Houston Texans / 2nd / 33rd pick / 2002
82,2002,Andre' Davis,WR,22,26,Virginia Tech,College Stats,1-Jun,194,4.42,39.5,,123,6.77,4.1,Cleveland Browns / 2nd / 47th pick / 2002
83,2002,Tim Carter,WR,22,10,Auburn,College Stats,Jun-00,190,4.32,39,,126,6.68,3.93,New York Giants / 2nd / 46th pick / 2002
84,2002,Kelly Campbell,WR,21,12,Georgia Tech,College Stats,10-May,171,4.48,,,,,,
85,2002,Reche Caldwell,WR,22,21,Florida,College Stats,Jun-00,194,4.53,41.5,,130,7,4.1,San Diego Chargers / 2nd / 48th pick / 2002
86,2002,Antonio Bryant,WR,20,42,Pittsburgh,College Stats,1-Jun,188,4.57,37,,121,,,Dallas Cowboys / 2nd / 63rd pick / 2002
87,2002,Deion Branch,WR,22,64,Louisville,College Stats,9-May,191,4.47,36,,117,6.71,3.78,New England Patriots / 2nd / 65th pick / 2002
88,2001,Cedrick Wilson,WR,22,24,Tennessee,College Stats,10-May,179,4.48,38,,123,,,San Francisco 49ers / 6th / 169th pick / 2001
89,2001,Marcus Williams,WR,23,0,Washington State,College Stats,5-Jun,230,4.56,41,,130,7.37,4.2,
90,2001,Reggie Wayne,WR,22,155,Miami (FL),College Stats,Jun-00,198,4.45,,,,,,Indianapolis Colts / 1st / 30th pick / 2001
91,2001,David Terrell,WR,21,12,Michigan,College Stats,3-Jun,213,4.43,,,,,,Chicago Bears / 1st / 8th pick / 2001
92,2001,Vinny Sutherland,WR,22,0,Purdue,College Stats,9-May,192,4.48,,,,,,Atlanta Falcons / 5th / 136th pick / 2001
93,2001,Steve Smith,WR,21,139,Utah,College Stats,9-May,184,4.41,38.5,,121,7.44,4.25,Carolina Panthers / 3rd / 74th pick / 2001
94,2001,Koren Robinson,WR,20,39,North Carolina State,College Stats,1-Jun,211,4.61,,,,,,Seattle Seahawks / 1st / 9th pick / 2001
95,2001,Ken-Yon Rambo,WR,22,1,Ohio State,College Stats,1-Jun,196,4.34,,,,,,Oakland Raiders / 7th / 229th pick / 2001
96,2001,Nate Poole,WR,24,3,Marshall,College Stats,1-Jun,198,4.79,32.5,,112,7.26,4.22,
97,2001,Steve Neal,WR,24,50,West. Michigan,College Stats,1-Jun,190,4.59,36,,119,7.18,4.19,
98,2001,Santana Moss,WR,21,93,Miami (FL),College Stats,10-May,184,4.31,,,,,,New York Jets / 1st / 16th pick / 2001
99,2001,Quincy Morgan,WR,23,22,Kansas State,College Stats,1-Jun,211,4.48,,,,,,Cleveland Browns / 2nd / 33rd pick / 2001
100,2001,Freddie Mitchell,WR,22,14,UCLA,College Stats,11-May,185,4.46,39.5,,120,6.95,4.06,Philadelphia Eagles / 1st / 25th pick / 2001
101,2001,Snoop Minnis,WR,24,5,Florida State,College Stats,1-Jun,171,4.57,37.5,,115,7.06,4.07,Kansas City Chiefs / 3rd / 77th pick / 2001
102,2001,Quentin McCord,WR,22,5,Kentucky,College Stats,10-May,191,4.48,36.5,,112,7.17,4.18,Atlanta Falcons / 7th / 236th pick / 2001
103,2001,Justin McCareins,WR,22,37,Northern Illinois,College Stats,2-Jun,209,4.51,41,,129,7.06,3.99,Tennessee Titans / 4th / 124th pick / 2001
104,2001,David Martin,WR,21,13,Tennessee,College Stats,4-Jun,242,4.76,,,,,,Green Bay Packers / 6th / 198th pick / 2001
105,2001,Andre King,WR,27,2,Miami (FL),College Stats,Jun-00,199,4.61,,,,,,Cleveland Browns / 7th / 245th pick / 2001
106,2001,Kevin Kasper,WR,23,2,Iowa,College Stats,Jun-00,199,4.42,43.5,,126,6.56,3.73,Denver Broncos / 6th / 190th pick / 2001
107,2001,Chad Johnson,WR,23,104,Oregon State,College Stats,1-Jun,192,4.57,33,,108,7.51,4.14,Cincinnati Bengals / 2nd / 36th pick / 2001
108,2001,Cedric James,WR,21,0,TCU,College Stats,2-Jun,204,4.49,43,,134,,,Minnesota Vikings / 4th / 131st pick / 2001
