Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt▼,PPR,DKPt,FDPt,VBD,PosRank,OvRank
72,Matt Leinart,ARI,QB,23,12,11,214,377,2547,11,12,22,49,2.23,2,0,0,0,,0,8,2,2,,,139,134.8,151.8,146.8,,24,
73,Reggie Brown,PHI,WR,25,16,15,0,0,0,0,0,3,24,8,1,88,46,816,17.74,8,0,,9,,,138,184,187,161,20,22,52
74,Hines Ward,PIT,WR,30,14,14,0,0,0,0,0,2,30,15,0,126,74,975,13.18,6,2,,6,,,137,210.5,213.5,173.5,19,23,54
75,Shaun Alexander,SEA,RB,29,10,10,0,0,0,0,0,252,896,3.56,7,16,12,48,4,0,6,3,7,,,136,142.4,148.4,136.4,,27,
76,Laurence Maroney,NWE,RB,21,14,0,0,0,0,0,0,175,745,4.26,6,30,22,194,8.82,1,1,1,7,,,136,155.9,162.9,144.9,,28,
77,Jerricho Cotchery,NYJ,WR,24,16,16,0,0,0,0,0,5,25,5,0,125,82,961,11.72,6,0,,6,,,135,216.6,219.6,175.6,17,24,57
78,Mike Bell,DEN,RB,23,15,3,0,0,0,0,0,157,677,4.31,8,27,20,158,7.9,0,1,,8,,,132,151.5,157.5,141.5,,29,
79,Larry Fitzgerald,ARI,WR,23,13,13,0,0,0,0,0,0,0,,0,111,69,946,13.71,6,0,,6,,,131,199.6,202.6,165.1,13,25,64
80,Isaac Bruce,STL,WR,34,16,13,0,1,0,0,0,0,0,,0,126,74,1098,14.84,3,0,,3,1,,130,203.8,206.8,166.8,12,26,65
81,Brad Johnson,MIN,QB,38,15,14,270,439,2750,9,15,29,82,2.83,1,0,0,0,,0,9,,1,,,130,130.2,148.2,145.2,,25,
82,Alge Crumpler*,ATL,TE,29,16,16,0,0,0,0,0,0,0,,0,103,56,780,13.93,8,0,,8,,,126,182,185,154,45,2,28
83,Tatum Bell,DEN,RB,25,13,13,0,0,0,0,0,233,1025,4.4,2,31,24,115,4.79,0,5,5,2,,,126,140,151,128,,30,
84,Santana Moss,WAS,WR,27,14,14,0,0,0,0,0,7,82,11.71,0,101,55,790,14.36,6,2,,6,1,,125,180.2,183.2,152.7,8,27,69
85,Braylon Edwards,CLE,WR,23,16,15,0,0,0,0,0,3,7,2.33,0,125,61,884,14.49,6,0,,6,,,125,186.1,189.1,155.6,8,28,70
86,DeShaun Foster,CAR,RB,26,14,14,0,0,0,0,0,227,897,3.95,3,46,32,159,4.97,0,4,2,3,,,124,151.6,159.6,135.6,,31,
87,Tony Gonzalez*,KAN,TE,30,15,15,0,0,0,0,0,0,0,,0,104,73,900,12.33,5,1,,5,1,,122,195,198,158.5,41,3,31
88,Mark Clayton,BAL,WR,24,16,12,0,1,0,0,0,7,-30,-4.29,0,113,67,939,14.01,5,0,,5,,,121,187.9,190.9,154.4,3,29,71
89,Damon Huard,KAN,QB,33,10,8,148,244,1878,11,1,9,9,1,0,2,2,-6,-3,0,9,5,0,,1,119,111.4,120.4,111.4,,26,
90,Dominic Rhodes,IND,RB,27,16,16,0,0,0,0,0,187,641,3.43,5,47,36,251,6.97,0,3,3,5,,,119,149.2,158.2,131.2,,32,
91,Eddie Kennison,KAN,WR,33,16,16,0,0,0,0,0,4,16,4,0,101,53,860,16.23,5,0,,5,,,118,170.6,173.6,144.1,,30,
92,Marty Booker,MIA,WR,30,14,13,0,0,0,0,0,3,19,6.33,0,90,55,747,13.58,6,0,,6,2,,117,171.6,174.6,144.1,,31,
93,Reuben Droughns,CLE,RB,28,14,12,0,0,0,0,0,220,758,3.45,4,33,27,169,6.26,0,5,4,4,,,117,135.7,145.7,122.2,,33,
94,David Garrard,JAX,QB,28,11,10,145,241,1735,10,9,47,250,5.32,0,0,0,0,,0,4,2,0,,,116,112.4,129.4,121.4,,27,
95,Muhsin Muhammad,CHI,WR,33,16,16,0,0,0,0,0,0,0,,0,117,60,863,14.38,5,1,1,5,,,116,174.3,178.3,144.3,,32,
96,Leon Washington,NYJ,RB,24,16,8,0,0,0,0,0,151,650,4.3,4,31,25,270,10.8,0,3,1,4,,,116,139,146,126.5,,34,
97,Chris Henry,CIN,WR,23,13,4,0,0,0,0,0,0,0,,0,75,36,605,16.81,9,0,,9,,,115,150.5,153.5,132.5,,33,
98,Jake Plummer,DEN,QB,32,16,11,175,317,1994,11,13,36,112,3.11,1,0,0,0,,0,7,2,1,,,115,111,132,124,,28,
99,Bernard Berrian,CHI,WR,26,15,14,0,0,0,0,0,2,5,2.5,0,102,51,775,15.2,6,2,1,6,,,114,163,167,137.5,,34,
100,Joey Harrington,MIA,QB,28,11,11,223,388,2236,12,15,19,24,1.26,0,0,0,0,,0,4,1,0,,2,114,111.8,130.8,126.8,,29,
101,Todd Heap,BAL,TE,26,16,16,0,0,0,0,0,0,0,,0,116,73,765,10.48,6,0,,6,,,113,185.5,188.5,149,31,4,36
102,Devery Henderson,NOR,WR,24,13,7,0,0,0,0,0,2,14,7,1,54,32,745,23.28,5,0,,6,,,112,143.9,146.9,127.9,,35,
103,Chris Cooley,WAS,TE,24,16,16,0,0,0,0,0,0,0,,0,95,57,734,12.88,6,0,,6,1,,111,168.4,171.4,139.9,30,5,39
104,Brandon Jacobs,NYG,RB,24,15,0,0,0,0,0,0,96,423,4.41,9,14,11,149,13.55,0,2,1,9,,,111,120.2,127.2,114.7,,36,
105,Clinton Portis,WAS,RB,25,8,7,0,0,0,0,0,127,523,4.12,7,26,17,170,10,0,0,,7,,,111,128.3,134.3,119.8,,35,
106,Keyshawn Johnson,CAR,WR,34,16,16,0,1,0,0,1,1,4,4,1,128,70,815,11.64,4,1,1,5,,,110,177.9,182.9,143.9,,36,
